Classifier,Field1,Field2,,accuracy, precision, recall, f1, f2
Naive Bayes, restricted_stock, to_poi_ratio, , 0.82367, 0.34656, 0.06550, 0.11018, 0.07818
Naive Bayes, restricted_stock, bonus_salary_ratio, , 0.82308, 0.33858, 0.06450, 0.10836, 0.07696
Naive Bayes, restricted_stock, exercised_stock_percent, , 0.83862, 0.37750, 0.07550, 0.12583, 0.08988
Naive Bayes, restricted_stock, bonus_total_ratio, , 0.82308, 0.33858, 0.06450, 0.10836, 0.07696
Naive Bayes, shared_receipt_with_poi, to_poi_ratio, , 0.85333, 0.05801, 0.02100, 0.03084, 0.02407
Naive Bayes, shared_receipt_with_poi, bonus_salary_ratio, , 0.77818, 0.01327, 0.00300, 0.00489, 0.00355
Naive Bayes, shared_receipt_with_poi, bonus_total_ratio, , 0.79691, 0.33333, 0.11700, 0.17321, 0.13445
Naive Bayes, to_messages, to_poi_ratio, , 0.85778, 0.05414, 0.01700, 0.02588, 0.01970
Naive Bayes, to_messages, bonus_salary_ratio, , 0.79673, 0.00833, 0.00100, 0.00179, 0.00121
Naive Bayes, to_messages, bonus_total_ratio, , 0.81864, 0.50540, 0.11700, 0.19001, 0.13825
Naive Bayes, from_messages, shared_receipt_poi_ratio, , 0.65033, 0.14792, 0.45100, 0.22277, 0.31990
Naive Bayes, from_messages, to_poi_ratio, , 0.78433, 0.20427, 0.32500, 0.25087, 0.29065
Naive Bayes, from_messages, bonus_salary_ratio, , 0.73627, 0.09884, 0.05550, 0.07109, 0.06084
Naive Bayes, from_messages, exercised_stock_percent, , 0.75633, 0.09756, 0.05600, 0.07116, 0.06122
Naive Bayes, from_messages, bonus_total_ratio, , 0.80964, 0.42193, 0.12700, 0.19523, 0.14764
Naive Bayes, from_poi_ratio, to_poi_ratio, , 0.85250, 0.04082, 0.00800, 0.01338, 0.00953
Naive Bayes, from_poi_ratio, bonus_total_ratio, , 0.80070, 0.50737, 0.12050, 0.19475, 0.14218
Naive Bayes, shared_receipt_poi_ratio, to_poi_ratio, , 0.79056, 0.11886, 0.13800, 0.12772, 0.13370
Naive Bayes, shared_receipt_poi_ratio, bonus_salary_ratio, , 0.79355, 0.01083, 0.00150, 0.00264, 0.00181
Naive Bayes, shared_receipt_poi_ratio, bonus_total_ratio, , 0.82045, 0.52822, 0.11700, 0.19157, 0.13858
Naive Bayes, to_poi_ratio, bonus_salary_ratio, , 0.75740, 0.06707, 0.01650, 0.02648, 0.01943
Naive Bayes, to_poi_ratio, exercised_stock_percent, , 0.79158, 0.15732, 0.05750, 0.08422, 0.06586
Naive Bayes, to_poi_ratio, bonus_total_ratio, , 0.78720, 0.39003, 0.11350, 0.17583, 0.13225
Naive Bayes, bonus_salary_ratio, bonus_total_ratio, , 0.75333, 0.33434, 0.11100, 0.16667, 0.12812
Naive Bayes, exercised_stock_percent, bonus_total_ratio, , 0.83317, 0.49745, 0.09750, 0.16304, 0.11618
Decision Tree, total_payments, total_stock_value, , 0.80533, 0.27295, 0.27650, 0.27471, 0.27578
Decision Tree, total_payments, exercised_stock_options, , 0.79886, 0.29961, 0.30500, 0.30228, 0.30391
Decision Tree, total_payments, bonus, , 0.78723, 0.31207, 0.31800, 0.31501, 0.31680
Decision Tree, total_payments, restricted_stock, , 0.75379, 0.11165, 0.10400, 0.10769, 0.10544
Decision Tree, total_payments, shared_receipt_with_poi, , 0.78921, 0.25039, 0.23850, 0.24430, 0.24079
Decision Tree, total_payments, to_messages, , 0.75686, 0.11848, 0.10900, 0.11354, 0.11077
